candidate_id,rank,score,reasoning
CAND_0086022,1,0.925773,"Career history at Sarvam AI shows strong alignment with the role's core requirements (career-context fit 0.61). holds real depth in Elasticsearch, QLoRA, Pinecone. 5.3 years of experience."
CAND_0027691,2,0.920556,"Career history at Haptik shows strong alignment with the role's core requirements (career-context fit 0.58). holds real depth in LoRA, PEFT, Weaviate. 6.5 years of experience."
CAND_0018499,3,0.914609,"Career history at Zomato shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in Weaviate, Pinecone, Milvus. 7.2 years of experience."
CAND_0066999,4,0.881278,"Career history at Microsoft shows strong alignment with the role's core requirements (career-context fit 0.57). holds real depth in OpenSearch, FAISS, Pinecone. 5.9 years of experience."
CAND_0037566,5,0.852287,"Career history shows moderate alignment with the role (career-context fit 0.48). holds real depth in Pinecone, LoRA, QLoRA. 6.9 years of experience."
CAND_0040117,6,0.848171,"Career history at PhonePe shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in FAISS, LoRA, QLoRA. 6.5 years of experience."
CAND_0041669,7,0.8469,"Career history at CRED shows strong alignment with the role's core requirements (career-context fit 0.60). holds real depth in FAISS, Milvus, PEFT. 8.0 years of experience."
CAND_0068811,8,0.836403,"Career history at Freshworks shows strong alignment with the role's core requirements (career-context fit 0.65). holds real depth in Qdrant, Pinecone, PEFT. 8.0 years of experience."
CAND_0046525,9,0.831372,"Career history at Genpact AI shows strong alignment with the role's core requirements (career-context fit 0.63). holds real depth in Elasticsearch, Sentence Transformers, Qdrant. 6.1 years of experience."
CAND_0042506,10,0.829111,"Career history at Verloop.io shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in PEFT, Milvus, Qdrant. 4.2 years of experience."
CAND_0008239,11,0.827009,"Career history at Apple shows strong alignment with the role's core requirements (career-context fit 0.67). holds real depth in Milvus, Elasticsearch, Weaviate. 4.0 years of experience."
CAND_0011687,12,0.826871,"Career history at Niramai shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in OpenSearch, FAISS, PEFT. 7.8 years of experience."
CAND_0052328,13,0.826312,"Career history at Amazon shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in LoRA, OpenSearch, QLoRA. 6.5 years of experience."
CAND_0050876,14,0.822671,"Career history at Freshworks shows strong alignment with the role's core requirements (career-context fit 0.64). holds real depth in Qdrant, FAISS, OpenSearch. 6.0 years of experience."
CAND_0075574,15,0.817051,"Career history at Haptik shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Weaviate, OpenSearch, Qdrant. 5.7 years of experience."
CAND_0036863,16,0.816556,"Career history at upGrad shows strong alignment with the role's core requirements (career-context fit 0.64). holds real depth in Qdrant, OpenSearch, FAISS. 4.3 years of experience."
CAND_0040887,17,0.808892,"Career history at Netflix shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in FAISS, LoRA, PEFT. 4.7 years of experience."
CAND_0007009,18,0.803291,"Career history at Wysa shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in Weaviate, Learning to Rank, PEFT. 7.9 years of experience."
CAND_0050454,19,0.802629,"Career history at Rephrase.ai shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in QLoRA, FAISS, Qdrant. 6.8 years of experience."
CAND_0026532,20,0.798085,"Career history at Zomato shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in LoRA, PEFT, Pinecone. 4.8 years of experience."
CAND_0039383,21,0.79543,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in FAISS, QLoRA, LoRA. 7.1 years of experience."
CAND_0006418,22,0.792829,"Career history at Verloop.io shows strong alignment with the role's core requirements (career-context fit 0.50). holds real depth in Weaviate, Elasticsearch, Learning to Rank. 5.7 years of experience."
CAND_0079387,23,0.79239,"Career history at Microsoft shows strong alignment with the role's core requirements (career-context fit 0.61). holds real depth in Sentence Transformers, OpenSearch, QLoRA. 6.9 years of experience."
CAND_0014440,24,0.789047,"Career history at CRED shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Elasticsearch, Milvus, FAISS. 6.4 years of experience."
CAND_0018549,25,0.788369,"Career history at Uber shows strong alignment with the role's core requirements (career-context fit 0.61). holds real depth in Weaviate, Elasticsearch, Qdrant. 6.8 years of experience."
CAND_0037980,26,0.784827,"Career history at Niramai shows strong alignment with the role's core requirements (career-context fit 0.61). holds real depth in LoRA, QLoRA. 9.0 years of experience."
CAND_0091890,27,0.781437,"Career history at Verloop.io shows strong alignment with the role's core requirements (career-context fit 0.60). holds real depth in Elasticsearch, OpenSearch, Weaviate. 4.7 years of experience."
CAND_0041568,28,0.781175,"Career history at Haptik shows strong alignment with the role's core requirements (career-context fit 0.61). holds real depth in PEFT, Weaviate, Qdrant. 5.2 years of experience."
CAND_0081846,29,0.779775,"Career history at Razorpay shows strong alignment with the role's core requirements (career-context fit 0.60). holds real depth in Learning to Rank, Elasticsearch, Qdrant. 6.7 years of experience."
CAND_0091909,30,0.779391,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in Pinecone, QLoRA, Qdrant. 6.9 years of experience."
CAND_0015578,31,0.779017,"Career history at Zoho shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Sentence Transformers, Pinecone, FAISS. 5.4 years of experience."
CAND_0051004,32,0.775706,"Career history shows moderate alignment with the role (career-context fit 0.44). holds real depth in Qdrant, PEFT, LoRA. 4.7 years of experience."
CAND_0002025,33,0.772646,"Career history at Apple shows strong alignment with the role's core requirements (career-context fit 0.60). holds real depth in FAISS, OpenSearch, Weaviate. 5.9 years of experience."
CAND_0066376,34,0.770153,"Career history at Dream11 shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in LoRA, Learning to Rank, FAISS. 5.7 years of experience."
CAND_0064326,35,0.76908,"Career history at Sarvam AI shows strong alignment with the role's core requirements (career-context fit 0.57). holds real depth in Milvus, Weaviate, QLoRA. 7.6 years of experience."
CAND_0071974,36,0.768434,"Career history at Netflix shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in LoRA, Learning to Rank, Weaviate. 7.8 years of experience."
CAND_0067866,37,0.767935,"Career history at Tech Mahindra shows strong alignment with the role's core requirements (career-context fit 0.61). holds real depth in Elasticsearch, LoRA, PEFT. 6.4 years of experience."
CAND_0041610,38,0.767231,"Career history at Zoho shows strong alignment with the role's core requirements (career-context fit 0.59). holds real depth in LoRA, Elasticsearch, OpenSearch. 6.7 years of experience."
CAND_0009024,39,0.764543,"Career history at Google shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Qdrant, PEFT, FAISS. 5.2 years of experience."
CAND_0008425,40,0.76242,"Career history at Ola shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in Learning to Rank, Qdrant, Sentence Transformers. 7.8 years of experience."
CAND_0075249,41,0.762279,"Career history at Zomato shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Sentence Transformers, Milvus, Pinecone. 6.2 years of experience."
CAND_0078492,42,0.760503,"Career history at Verloop.io shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in FAISS, Qdrant, PEFT. 5.1 years of experience."
CAND_0062247,43,0.759438,"Career history at Google shows strong alignment with the role's core requirements (career-context fit 0.59). holds real depth in Pinecone, Qdrant, PEFT. 7.3 years of experience."
CAND_0081053,44,0.756231,"Career history at Glance shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in LoRA, QLoRA, Qdrant. 5.4 years of experience."
CAND_0046064,45,0.753032,"Career history at Salesforce shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in Pinecone, OpenSearch, PEFT. 8.9 years of experience."
CAND_0004402,46,0.751444,"Career history at Yellow.ai shows strong alignment with the role's core requirements (career-context fit 0.64). holds real depth in PEFT, Learning to Rank. 6.0 years of experience."
CAND_0071939,47,0.750996,"Career history shows moderate alignment with the role (career-context fit 0.40). holds real depth in OpenSearch, QLoRA, Qdrant. 6.4 years of experience."
CAND_0029367,48,0.750686,"Career history shows moderate alignment with the role (career-context fit 0.48). holds real depth in QLoRA, FAISS, Sentence Transformers. 5.7 years of experience."
CAND_0069905,49,0.74878,"Career history at Sarvam AI shows strong alignment with the role's core requirements (career-context fit 0.57). holds real depth in LoRA, Sentence Transformers, Weaviate. 6.6 years of experience."
CAND_0065195,50,0.747479,"Career history at CRED shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in QLoRA, Elasticsearch, Qdrant. 5.1 years of experience."
CAND_0077337,51,0.747045,"Career history at Paytm shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in QLoRA, Pinecone, Qdrant. 7.0 years of experience."
CAND_0098846,52,0.743916,"Career history at upGrad shows strong alignment with the role's core requirements (career-context fit 0.62). holds real depth in PEFT, QLoRA, Qdrant. 7.6 years of experience."
CAND_0088025,53,0.742288,"Career history at Yellow.ai shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Pinecone, QLoRA, LoRA. 8.6 years of experience."
CAND_0077285,54,0.739121,"Career history at Nykaa shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in LoRA, Pinecone, Sentence Transformers. 5.5 years of experience."
CAND_0037944,55,0.73892,"Career history shows moderate alignment with the role (career-context fit 0.46). holds real depth in QLoRA, OpenSearch, Sentence Transformers. 4.9 years of experience."
CAND_0013393,56,0.738612,"Career history at Freshworks shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Pinecone, OpenSearch, Sentence Transformers. 5.3 years of experience."
CAND_0072660,57,0.738176,"Career history at Unacademy shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in LoRA, OpenSearch, QLoRA. 7.1 years of experience."
CAND_0044222,58,0.737641,"Career history at PolicyBazaar shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in OpenSearch, Qdrant, Weaviate. 7.7 years of experience."
CAND_0058688,59,0.734129,"Career history at Vedantu shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Milvus, QLoRA. 6.7 years of experience."
CAND_0011162,60,0.733472,"Career history at upGrad shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in FAISS, LoRA, Milvus. 5.8 years of experience."
CAND_0010149,61,0.732071,"Career history at Glance shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in Milvus, Learning to Rank, Elasticsearch. 6.9 years of experience."
CAND_0053591,62,0.731601,"Career history at Ola shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in Milvus, OpenSearch, Sentence Transformers. 5.3 years of experience."
CAND_0036184,63,0.729978,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in QLoRA, FAISS, Pinecone. 6.0 years of experience."
CAND_0042100,64,0.729308,"Career history at Freshworks shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Elasticsearch, Learning to Rank, Pinecone. 7.3 years of experience."
CAND_0039838,65,0.727701,"Career history shows moderate alignment with the role (career-context fit 0.48). holds real depth in LoRA, Milvus, QLoRA. 4.9 years of experience."
CAND_0017960,66,0.726866,"Career history shows moderate alignment with the role (career-context fit 0.45). holds real depth in QLoRA, Qdrant, PEFT. 7.7 years of experience."
CAND_0010000,67,0.724517,"Career history at Aganitha shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Milvus, OpenSearch, LoRA. 3.2 years of experience."
CAND_0090155,68,0.724023,Career history at Swiggy shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in Pinecone. 5.8 years of experience.
CAND_0007460,69,0.721537,"Career history at Salesforce shows strong alignment with the role's core requirements (career-context fit 0.67). holds real depth in PEFT, Weaviate, LoRA. 4.7 years of experience. Note: a 120-day notice period."
CAND_0005649,70,0.718733,"Career history at Sarvam AI shows strong alignment with the role's core requirements (career-context fit 0.59). holds real depth in QLoRA, Weaviate. 7.4 years of experience."
CAND_0067322,71,0.717507,"Career history at Nykaa shows strong alignment with the role's core requirements (career-context fit 0.63). holds real depth in FAISS, OpenSearch, Qdrant. 4.3 years of experience."
CAND_0076904,72,0.716711,"Career history at Nykaa shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in PEFT, OpenSearch, Weaviate. 4.2 years of experience."
CAND_0092255,73,0.716582,"Career history at InMobi shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Weaviate, OpenSearch, Learning to Rank. 5.2 years of experience."
CAND_0010541,74,0.715931,"Career history at Wysa shows strong alignment with the role's core requirements (career-context fit 0.62). holds real depth in Pinecone, Weaviate. 6.2 years of experience."
CAND_0081852,75,0.715055,"Career history at Mad Street Den shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Milvus, Weaviate, LoRA. 5.9 years of experience."
CAND_0020350,76,0.714691,"Career history shows moderate alignment with the role (career-context fit 0.42). holds real depth in LoRA, PEFT, FAISS. 5.8 years of experience."
CAND_0011432,77,0.714573,"Career history shows moderate alignment with the role (career-context fit 0.48). holds real depth in OpenSearch, PEFT, QLoRA. 7.6 years of experience."
CAND_0074735,78,0.713691,"Career history at Rephrase.ai shows strong alignment with the role's core requirements (career-context fit 0.51). holds real depth in Weaviate, Learning to Rank, Elasticsearch. 5.5 years of experience."
CAND_0032807,79,0.713049,"Career history shows moderate alignment with the role (career-context fit 0.49). holds real depth in OpenSearch, Sentence Transformers, Milvus. 4.2 years of experience."
CAND_0040200,80,0.711997,"Career history at PharmEasy shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in Weaviate, Milvus. 5.5 years of experience."
CAND_0060472,81,0.71159,"Career history at Paytm shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in OpenSearch, Weaviate. 4.4 years of experience."
CAND_0051292,82,0.711104,"Career history at Freshworks shows strong alignment with the role's core requirements (career-context fit 0.58). holds real depth in FAISS, PEFT, Elasticsearch. 5.2 years of experience."
CAND_0076163,83,0.710143,"Career history at Ola shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Weaviate, Sentence Transformers, Elasticsearch. 6.9 years of experience."
CAND_0095528,84,0.710016,"Career history at Netflix shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in OpenSearch, Qdrant, Elasticsearch. 5.3 years of experience."
CAND_0098217,85,0.709372,"Career history shows moderate alignment with the role (career-context fit 0.45). holds real depth in PEFT, Pinecone. 6.4 years of experience."
CAND_0064904,86,0.709183,"Career history at LinkedIn shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Elasticsearch, Weaviate, OpenSearch. 4.9 years of experience."
CAND_0060538,87,0.708846,"Career history at Verloop.io shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in OpenSearch, Milvus. 5.2 years of experience."
CAND_0099806,88,0.704308,"Career history shows moderate alignment with the role (career-context fit 0.43). holds real depth in LoRA, FAISS, Sentence Transformers. 4.6 years of experience."
CAND_0093912,89,0.704277,"Career history at Razorpay shows strong alignment with the role's core requirements (career-context fit 0.56). holds real depth in Milvus, Learning to Rank, Elasticsearch. 5.3 years of experience."
CAND_0065514,90,0.701572,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in Pinecone, Elasticsearch. 6.6 years of experience."
CAND_0053695,91,0.699776,"Career history at Meesho shows strong alignment with the role's core requirements (career-context fit 0.55). holds real depth in Pinecone, Sentence Transformers. 5.8 years of experience."
CAND_0013613,92,0.6989,"Career history at Adobe shows strong alignment with the role's core requirements (career-context fit 0.53). holds real depth in LoRA, Weaviate, Sentence Transformers. 4.7 years of experience."
CAND_0017590,93,0.697498,"Career history at Genpact AI shows strong alignment with the role's core requirements (career-context fit 0.52). holds real depth in FAISS, Sentence Transformers. 5.1 years of experience."
CAND_0001707,94,0.696201,"Career history shows moderate alignment with the role (career-context fit 0.45). holds real depth in Sentence Transformers, FAISS, Weaviate. 5.6 years of experience."
CAND_0000031,95,0.695563,"Career history shows moderate alignment with the role (career-context fit 0.40). holds real depth in FAISS, Pinecone, Sentence Transformers. 6.0 years of experience."
CAND_0060835,96,0.694545,Career history at Sarvam AI shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in FAISS. 6.6 years of experience.
CAND_0065878,97,0.693941,Career history at Niramai shows strong alignment with the role's core requirements (career-context fit 0.58). holds real depth in QLoRA. 7.8 years of experience.
CAND_0067041,98,0.692876,"Career history at Saarthi.ai shows strong alignment with the role's core requirements (career-context fit 0.54). holds real depth in Milvus, Learning to Rank, Elasticsearch. 6.9 years of experience. Note: a 120-day notice period."
CAND_0076251,99,0.692042,"Career history shows moderate alignment with the role (career-context fit 0.47). holds real depth in Weaviate, Learning to Rank, Elasticsearch. 7.6 years of experience."
CAND_0093883,100,0.690686,"Career history at Wysa shows strong alignment with the role's core requirements (career-context fit 0.60). holds real depth in LoRA, OpenSearch, Milvus. 5.0 years of experience."
